index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
1,https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1,KRÜ Esports_vs_FURIA,A,Others,0.5433673469387755,0.5789473684210527
2,https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1,KRÜ Esports_vs_FURIA,B,A,0.5436241610738255,0.7142857142857143
3,https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1,KRÜ Esports_vs_FURIA,B,Others,0.46113989637305697,0.23529411764705882
0,https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2,Sentinels_vs_LEVIATÁN,A,B,0.4506172839506173,0.375
1,https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2,Sentinels_vs_LEVIATÁN,A,Others,0.6190476190476191,1.0
2,https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2,Sentinels_vs_LEVIATÁN,B,A,0.5493827160493827,0.625
3,https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2,Sentinels_vs_LEVIATÁN,B,Others,0.4491869918699187,0.391304347826087
0,https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2,KRÜ Esports_vs_MIBR,A,B,0.5486725663716814,0.6
1,https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2,KRÜ Esports_vs_MIBR,A,Others,0.549636803874092,0.6
2,https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2,KRÜ Esports_vs_MIBR,B,A,0.45132743362831856,0.4
3,https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2,KRÜ Esports_vs_MIBR,B,Others,0.4946236559139785,0.5294117647058824
0,https://www.vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a,NRG Esports_vs_FURIA,A,B,0.5625,0.8
1,https://www.vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a,NRG Esports_vs_FURIA,A,Others,0.5504807692307693,0.631578947368421
2,https://www.vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a,NRG Esports_vs_FURIA,B,A,0.4375,0.2
3,https://www.vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a,NRG Esports_vs_FURIA,B,Others,0.4765432098765432,0.3888888888888889
0,https://www.vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2,Cloud9_vs_Evil Geniuses,A,B,0.4728682170542636,0.6666666666666666
1,https://www.vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2,Cloud9_vs_Evil Geniuses,A,Others,0.4745762711864407,0.4
2,https://www.vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2,Cloud9_vs_Evil Geniuses,B,A,0.5271317829457365,0.3333333333333333
3,https://www.vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2,Cloud9_vs_Evil Geniuses,B,Others,0.4387254901960784,0.3684210526315789
0,https://www.vlr.gg/314634/sentinels-vs-mibr-champions-tour-2024-americas-stage-1-w3,Sentinels_vs_MIBR,A,B,0.6842105263157895,1.0
1,https://www.vlr.gg/314634/sentinels-vs-mibr-champions-tour-2024-americas-stage-1-w3,Sentinels_vs_MIBR,A,Others,0.5294117647058824,0.5
